,kdcode,dt,label,event_att,news_att,price_att,up,down,neural,pred_label,ori_pred_label,pred_probability
288,000783.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.303159,0.44177458,0.25506642,1,0,"[0.3031589984893799, 0.4417745769023895, 0.2550664246082306]"
289,000785.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.25444928,0.2229062,0.52264446,2,1,"[0.2544492781162262, 0.2229062020778656, 0.5226444602012634]"
290,000786.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.29211673,0.28698236,0.42090085,2,2,"[0.2921167314052582, 0.28698235750198364, 0.4209008514881134]"
291,000788.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.23515686,0.31704587,0.44779727,2,1,"[0.2351568639278412, 0.3170458674430847, 0.4477972686290741]"
292,000789.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.30101913,0.32432505,0.3746558,2,1,"[0.3010191321372986, 0.3243250548839569, 0.3746558129787445]"
293,000790.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.3092877,0.3165898,0.37412253,2,1,"[0.3092876970767975, 0.3165898025035858, 0.3741225302219391]"
294,000791.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.26146618,0.22674467,0.51178914,2,1,"[0.2614661753177643, 0.2267446666955948, 0.5117891430854797]"
295,000792.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.27816224,0.2278774,0.49396044,2,1,"[0.27816224098205566, 0.2278773933649063, 0.493960440158844]"
296,000793.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2339833,0.22518522,0.54083145,2,0,"[0.23398329317569733, 0.22518521547317505, 0.540831446647644]"
297,000795.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.30067283,0.24041165,0.4589155,2,2,"[0.30067282915115356, 0.2404116541147232, 0.45891550183296204]"
298,000796.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.3269428,0.29679847,0.3762587,2,2,"[0.3269428014755249, 0.2967984676361084, 0.3762587010860443]"
299,000797.SZ,2019-04-03,1.0,2.4314765e-33,0.0,1.0,0.28336078,0.4178614,0.29877776,1,1,"[0.2833607792854309, 0.4178614020347595, 0.2987777590751648]"
300,000798.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2616977,0.25278375,0.48551854,2,1,"[0.2616977095603943, 0.25278374552726746, 0.48551854491233826]"
301,000799.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.33276206,0.30493298,0.36230496,2,2,"[0.33276206254959106, 0.30493298172950745, 0.3623049557209015]"
302,000801.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.22868967,0.6176028,0.15370747,1,1,"[0.22868967056274414, 0.6176028251647949, 0.15370747447013855]"
303,000802.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2486049,0.23872931,0.5126658,2,0,"[0.2486048936843872, 0.2387293130159378, 0.5126658082008362]"
304,000803.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.21990745,0.38163725,0.39845523,2,0,"[0.21990744769573212, 0.38163724541664124, 0.3984552323818207]"
305,000807.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.38458577,0.3443165,0.27109772,0,2,"[0.38458576798439026, 0.3443165123462677, 0.27109771966934204]"
306,000809.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.28289133,0.35123092,0.36587772,2,1,"[0.28289133310317993, 0.3512309193611145, 0.3658777177333832]"
307,000810.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.25383496,0.3545797,0.39158532,2,1,"[0.25383496284484863, 0.3545796871185303, 0.3915853202342987]"
308,000811.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2666331,0.4690592,0.26430774,1,0,"[0.2666330933570862, 0.46905919909477234, 0.26430773735046387]"
309,000812.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.25794294,0.2323808,0.5096763,2,0,"[0.25794294476509094, 0.23238080739974976, 0.5096762776374817]"
310,000813.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.17784046,0.13311021,0.68904936,2,0,"[0.177840456366539, 0.13311021029949188, 0.6890493631362915]"
311,000815.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2632717,0.25690255,0.4798258,2,0,"[0.263271689414978, 0.2569025456905365, 0.47982579469680786]"
312,000818.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2700739,0.409497,0.32042918,1,1,"[0.27007389068603516, 0.4094969928264618, 0.3204291760921478]"
313,000819.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.23374811,0.21518755,0.5510643,2,0,"[0.23374810814857483, 0.21518754959106445, 0.5510643124580383]"
314,000820.SZ,2019-04-03,0.0,1.7551122e-33,0.0,1.0,0.25594825,0.26045683,0.4835949,2,1,"[0.2559482455253601, 0.2604568302631378, 0.4835948944091797]"
315,000821.SZ,2019-04-03,2.0,0.0,0.0,1.0,0.2501467,0.18404838,0.5658049,2,0,"[0.25014668703079224, 0.1840483844280243, 0.5658048987388611]"
316,000822.SZ,2019-04-03,0.0,0.0,0.0,1.0,0.3899585,0.3679055,0.24213603,0,2,"[0.3899585008621216, 0.36790549755096436, 0.24213603138923645]"
317,000823.SZ,2019-04-03,1.0,0.0,0.0,1.0,0.2572754,0.2206347,0.5220899,2,0,"[0.25727540254592896, 0.22063469886779785, 0.5220898985862732]"
